SITE_ID,DATEON,DATEOFF,variable_SO2,variable_SO4,variable_HNO3,variable_NO3,variable_TNO3,variable_NH4,variable_CA,variable_K,variable_MG,variable_Sodium,days_on_to_off,valid_on_off,days_to_next,valid_interval,imputation_data
ABT147,2000-10-31,2000-11-07,1.855,0.952,1.1,0.294,1.377,0.414,0.058,0.022,0.01,0.111,7,True,7.0,True,False
ABT147,2000-11-07,2000-11-14,3.133,1.129,0.572,0.527,1.091,0.566,0.023,0.025,0.009,0.254,7,True,7.0,True,False
ABT147,2000-11-14,2000-11-21,8.826,2.637,1.184,2.167,3.333,1.565,0.07,0.036,0.016,0.064,7,True,7.0,True,False
ABT147,2000-11-21,2000-11-28,4.548,1.373,0.866,0.928,1.78,0.711,0.052,0.039,0.015,0.172,7,True,7.0,True,False
ABT147,2000-11-28,2000-12-05,4.876,1.649,1.265,0.679,1.924,0.831,0.06,0.029,0.012,0.094,7,True,7.0,True,False
ABT147,2000-12-05,2000-12-12,9.117,1.906,1.117,2.147,3.246,1.12,0.093,0.05,0.027,0.234,7,True,7.0,True,False
ABT147,2000-12-12,2000-12-19,5.353,2.235,1.119,1.099,2.2,0.843,0.094,0.078,0.052,0.64,7,True,7.0,True,False
ABT147,2000-12-19,2000-12-26,22.037,3.962,3.03,2.365,5.347,1.681,0.101,0.066,0.032,0.462,7,True,7.0,True,False
ABT147,2000-12-26,2001-01-02,6.169,1.536,0.872,1.179,2.037,0.7,0.052,0.041,0.015,0.25,7,True,7.0,True,False
ABT147,2001-01-02,2001-01-09,24.891,3.998,2.531,2.239,4.73,1.823,0.069,0.073,0.019,0.371,7,True,7.0,True,False
ABT147,2001-01-09,2001-01-16,12.267,3.06,2.237,2.385,4.586,1.407,0.08,0.048,0.018,0.593,7,True,7.0,True,False
ABT147,2001-01-16,2001-01-23,8.888,2.485,1.923,1.356,3.248,1.081,0.051,0.043,0.018,0.276,7,True,7.0,True,False
ABT147,2001-01-23,2001-01-30,19.144,4.27,3.741,3.485,7.167,2.149,0.108,0.049,0.033,0.399,7,True,7.0,True,False
